relay_id,event_ts,device,metric,before_30m_mean,after_0_30m_mean,after_30_120m_mean,delta_0_30m,delta_30_120m,n_before,n_after30,n_after120
3,2026-04-08 16:31:19,th-2,humidity,25.233333333333334,27.033333333333335,26.876404494382022,1.8000000000000007,1.6430711610486881,30,30,89
3,2026-04-08 16:31:19,co2-1,temperature,21.853846153846153,22.010344827586206,21.940963855421685,0.1564986737400531,0.08711770157553289,26,29,83
3,2026-04-08 16:31:19,co2-1,humidity,31.81923076923077,33.827586206896555,33.17349397590362,2.0083554376657844,1.3542632066728473,26,29,83
3,2026-04-08 16:31:19,co2-1,co2,350.38461538461536,366.7241379310345,345.2289156626506,16.33952254641912,-5.155699721964766,26,29,83
2,2026-04-08 16:33:42,th-1,temperature,22.77,22.95,22.796666666666667,0.17999999999999972,0.026666666666667282,30,30,90
2,2026-04-08 16:33:42,th-1,humidity,27.1,28.266666666666666,27.988888888888887,1.1666666666666643,0.8888888888888857,30,30,90
2,2026-04-08 16:33:42,th-2,temperature,22.946666666666665,23.11,22.968888888888888,0.163333333333334,0.022222222222222143,30,30,90
2,2026-04-08 16:33:42,th-2,humidity,25.3,27.1,26.877777777777776,1.8000000000000007,1.5777777777777757,30,30,90
2,2026-04-08 16:33:42,co2-1,temperature,21.873076923076923,22.010344827586206,21.938095238095237,0.13726790450928306,0.0650183150183139,26,29,84
2,2026-04-08 16:33:42,co2-1,humidity,31.93076923076923,33.86206896551724,33.160714285714285,1.9312997347480092,1.2299450549450555,26,29,84
2,2026-04-08 16:33:42,co2-1,co2,352.0769230769231,365.3448275862069,345.26190476190476,13.267904509283824,-6.815018315018335,26,29,84
11,2026-04-09 11:01:35,th-1,temperature,23.296666666666667,23.509999999999998,23.053333333333335,0.21333333333333115,-0.2433333333333323,30,30,90
11,2026-04-09 11:01:35,th-1,humidity,29.966666666666665,34.8,32.63333333333333,4.833333333333332,2.666666666666668,30,30,90
11,2026-04-09 11:01:35,th-2,temperature,23.71,23.47,22.973333333333333,-0.240000000000002,-0.7366666666666681,30,30,90
11,2026-04-09 11:01:35,th-2,humidity,29.933333333333334,35.63333333333333,33.03333333333333,5.699999999999999,3.099999999999998,30,30,90
9,2026-04-09 11:01:35,th-1,temperature,23.296666666666667,23.509999999999998,23.053333333333335,0.21333333333333115,-0.2433333333333323,30,30,90
9,2026-04-09 11:01:35,th-1,humidity,29.966666666666665,34.8,32.63333333333333,4.833333333333332,2.666666666666668,30,30,90
